2024-03-09 19:44:11,897 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Configure stats pid to 279336
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Loading settings from /home/sandeep/.config/wandb/settings
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Loading settings from /home/sandeep/Documents/IITM/Deep Learning/wandb/settings
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'test', 'entity': 'ee23s059', 'root_dir': '/home/sandeep/Documents/IITM/Deep Learning', 'sweep_id': '4igscw2c', 'run_id': 'sb9md7c3', 'sweep_param_path': '/home/sandeep/Documents/IITM/Deep Learning/wandb/sweep-4igscw2c/config-sb9md7c3.yaml'}
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/sandeep/Documents/IITM/Deep Learning/main.py', 'program': '/home/sandeep/Documents/IITM/Deep Learning/main.py'}
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_init.py:_log_setup():526] Logging user logs to /home/sandeep/Documents/IITM/Deep Learning/wandb/run-20240309_194411-sb9md7c3/logs/debug.log
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sandeep/Documents/IITM/Deep Learning/wandb/run-20240309_194411-sb9md7c3/logs/debug-internal.log
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():566] calling init triggers
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():573] wandb.init called with sweep_config: {'activation_para': 'sigmoid', 'batch': 32, 'epochs': 3, 'lr': 0.001, 'n_hidden_layers': 5, 'optimiser': 'nadam', 's_hidden_layers': 32, 'weight_decay': 0.0005, 'weight_para': 'random'}
config: {}
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():616] starting backend
2024-03-09 19:44:11,898 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():620] setting up manager
2024-03-09 19:44:11,904 INFO    Thread-3 (_run_job):279336 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-09 19:44:11,905 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():628] backend started and connected
2024-03-09 19:44:11,917 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_config_callback():1343] config_cb None None {'activation_para': 'sigmoid', 'batch': 32, 'epochs': 3, 'lr': 0.001, 'n_hidden_layers': 5, 'optimiser': 'nadam', 's_hidden_layers': 32, 'weight_decay': 0.0005, 'weight_para': 'random'}
2024-03-09 19:44:11,918 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():720] updated telemetry
2024-03-09 19:44:11,926 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-09 19:44:12,834 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_on_init():2262] communicating current version
2024-03-09 19:44:13,058 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-09 19:44:13,058 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():804] starting run threads in backend
2024-03-09 19:44:13,118 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_console_start():2241] atexit reg
2024-03-09 19:44:13,118 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-09 19:44:13,118 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-09 19:44:13,118 INFO    Thread-3 (_run_job):279336 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-09 19:44:13,119 INFO    Thread-3 (_run_job):279336 [wandb_init.py:init():847] run started, returning control to user process
2024-03-09 19:44:22,969 INFO    MainThread:279336 [wandb_run.py:_finish():1970] finishing run ee23s059/test/sb9md7c3
2024-03-09 19:44:22,969 INFO    MainThread:279336 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-09 19:44:22,970 INFO    MainThread:279336 [wandb_run.py:_restore():2193] restore
2024-03-09 19:44:22,970 INFO    MainThread:279336 [wandb_run.py:_restore():2199] restore done
